Color,Neil Marshall,195,97,197,570,JJ Feild,13000,122288,Action|Adventure|Drama|History|Thriller|War,Michael Fassbender,Centurion ,64777,15293,Dave Legeno,0,mushroom|mute|roman soldier|screaming|wood carving,http://www.imdb.com/title/tt1020558/?ref_=fn_tt_tt_1,201,English,UK,R,,2010,794,6.4,2.35,0
Color,Russell Mulcahy,14,88,85,40,Gina Bellman,825,,Action|Drama|Thriller,Christopher Heyerdahl,Silent Trigger ,2699,1432,Conrad Dunn,0,assassin|die hard scenario|rangefinder|soldier|veteran,http://www.imdb.com/title/tt0117653/?ref_=fn_tt_tt_1,29,English,Canada,R,9000000,1996,476,5.6,2.35,154
Color,Ryûhei Kitamura,177,103,129,1000,Brooke Shields,14000,73548,Fantasy|Horror|Mystery,Bradley Cooper,The Midnight Meat Train ,47574,18639,Leslie Bibb,0,butcher|girlfriend|mute character|photographer|subway,http://www.imdb.com/title/tt0805570/?ref_=fn_tt_tt_1,209,English,USA,R,15000000,2008,1000,6.1,2.35,0
Color,Darrell Roodt,17,104,36,2,Wendy Crewson,549,,Biography|Drama|History,Jennifer Hudson,Winnie Mandela ,609,801,Aubrey Poo,2,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,http://www.imdb.com/title/tt1551641/?ref_=fn_tt_tt_1,15,English,South Africa,R,15000000,2011,248,6.0,,705
Color,Dito Montiel,62,90,68,642,Al Pacino,17000,28870,Crime|Drama|Thriller,Channing Tatum,The Son of No One ,14280,32814,Tracy Morgan,5,housing project|letter|man with glasses|murder|subjective camera,http://www.imdb.com/title/tt1535612/?ref_=fn_tt_tt_1,41,English,USA,R,15000000,2011,14000,5.1,2.35,0
Color,Stefan Ruzowitzky,19,105,24,125,Udo Kier,776,22723,Action|Comedy|Drama|War,Eddie Izzard,All the Queen's Men ,2236,1732,Edward Fox,1,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,http://www.imdb.com/title/tt0252223/?ref_=fn_tt_tt_1,40,English,Germany,PG-13,25000000,2001,595,4.5,2.35,193
Color,Jake Paltrow,50,93,17,66,Gael Le Cornec,1000,20380,Comedy|Drama|Fantasy|Music|Romance,Stephen Graham,The Good Night ,7519,1245,Keith Allen,1,commercial|dream|dreaming|girl|new york city,http://www.imdb.com/title/tt0484111/?ref_=fn_tt_tt_1,39,English,USA,R,15000000,2007,165,5.9,1.85,445
Color,Juraj Jakubisko,25,141,15,576,Hans Matheson,735,,Biography|Drama|Fantasy|History,Anna Friel,Bathory: Countess of Blood ,3425,2528,Franco Nero,1,bathory|countess|female protagonist|legend|virgin blood,http://www.imdb.com/title/tt0469640/?ref_=fn_tt_tt_1,32,English,Slovakia,R,,2008,627,6.0,2.35,0
Color,Anthony Silverston,39,85,0,912,Steve Buscemi,14000,,Adventure|Animation|Family,Liam Neeson,Khumba ,4006,29488,Loretta Devine,0,herd|ostrich|waterhole|wildebeest|zebra,http://www.imdb.com/title/tt1487931/?ref_=fn_tt_tt_1,12,English,South Africa,Not Rated,20000000,2013,12000,5.8,,0
Color,Gabe Ibáñez,136,109,19,537,Robert Forster,1000,,Action|Sci-Fi|Thriller,Birgitte Hjort Sørensen,Automata ,41638,2829,Melanie Griffith,0,child hitman|dystopia|future|robot|self repair,http://www.imdb.com/title/tt1971325/?ref_=fn_tt_tt_1,134,English,Bulgaria,R,7000000,2014,889,6.1,2.35,13000
